covariate_config,L,r,mean_MAE,mean_RMSE,std_MAE,std_RMSE,n_covariates
mean_age_temp_same_sex,5,0,18.8528,25.7624,4.6751,6.2853,3
age_diff_mean_age,5,0,18.7559,25.7767,4.6053,6.349,2
age_diff_mean_age_same_sex,5,0,18.8848,25.7834,4.7068,6.3206,3
mean_age_temp,5,0,18.7544,25.7918,4.6155,6.3546,2
age_diff_temp_same_sex,5,0,18.9118,25.7938,4.7693,6.3558,3
age_diff_only,5,0,18.7478,25.8,4.5982,6.3724,1
mean_age_same_sex,5,0,18.8962,25.8009,4.7043,6.3459,2
age_diff_mean_age_same_sex,5,2,18.9937,25.8054,4.7949,6.3541,3
age_diff_mean_age,5,2,18.8585,25.8094,4.7245,6.4067,2
mean_age_same_sex,5,2,19.0115,25.8196,4.7982,6.3819,2
mean_age_only,5,0,18.8099,25.822,4.6348,6.3993,1
no_covariates,5,0,18.8315,25.8241,4.6434,6.4027,0
temp_only,5,0,18.8315,25.8241,4.6434,6.4027,1
age_diff_only,5,2,18.8494,25.8319,4.711,6.431,1
age_diff_same_sex,5,1,18.9799,25.834,4.8928,6.565,2
same_sex_only,5,0,18.9767,25.8416,4.7767,6.4216,1
mean_age_only,5,2,18.9144,25.8537,4.7568,6.4589,1
age_diff_mean_age_temp_same_sex_no_interaction,5,1,18.9853,25.8549,4.859,6.5473,4
no_covariates,5,2,18.9291,25.855,4.7606,6.4605,0
mean_age_temp_same_sex,5,1,18.9958,25.8615,4.8611,6.5569,3
age_diff_temp,5,1,18.8512,25.8638,4.7624,6.5872,2
age_diff_mean_age_temp_no_interaction,5,1,18.8389,25.8656,4.7667,6.5851,3
temp_same_sex,5,0,18.9765,25.8687,4.8024,6.4545,2
same_sex_only,5,2,19.0956,25.8698,4.9169,6.483,1
age_diff_mean_age,5,1,18.8632,25.8827,4.7802,6.613,2
age_diff_mean_age_same_sex,5,1,19.005,25.8842,4.8967,6.5991,3
age_diff_temp_same_sex,5,1,19.0291,25.8953,4.9435,6.6454,3
mean_age_temp,5,1,18.8749,25.8984,4.7739,6.615,2
mean_age_same_sex,5,1,19.0179,25.8991,4.9048,6.6178,2
age_diff_temp,5,2,18.8564,25.8995,4.7276,6.5313,2
age_diff_mean_age_temp_same_sex_no_interaction,5,2,19.0393,25.9003,4.8049,6.4819,4
age_diff_mean_age_temp_no_interaction,5,2,18.8625,25.9029,4.7241,6.5275,3
age_diff_only,5,1,18.8507,25.9038,4.7729,6.6324,1
mean_age_temp_same_sex,5,2,19.0506,25.9072,4.807,6.4924,3
mean_age_only,5,1,18.9012,25.9272,4.8014,6.6588,1
no_covariates,5,1,18.9287,25.9302,4.8132,6.6643,0
temp_only,5,1,18.924,25.9303,4.8109,6.6642,1
age_diff_temp_same_sex,5,2,19.0334,25.9343,4.9076,6.5838,3
mean_age_temp,5,2,18.9033,25.9371,4.7314,6.5582,2
same_sex_only,5,1,19.0814,25.9457,4.9307,6.6934,1
temp_only,5,2,18.9357,25.9685,4.7773,6.6107,1
temp_same_sex,5,1,19.0955,25.9711,4.9924,6.7398,2
age_diff_same_sex,6,2,19.1785,25.9998,5.1393,6.7204,2
age_diff_same_sex,3,2,19.2984,26.0079,6.2998,8.125,2
temp_same_sex,5,2,19.1141,26.0129,4.965,6.6807,2
age_diff_mean_age,3,2,19.2879,26.0158,6.2863,8.1179,2
no_covariates,3,2,19.3041,26.0169,6.2675,8.1237,0
temp_only,3,2,19.3074,26.017,6.2699,8.1237,1
age_diff_temp,3,2,19.2878,26.0195,6.2808,8.1311,2
mean_age_same_sex,3,2,19.319,26.0198,6.2908,8.1309,2
age_diff_only,3,2,19.2926,26.0198,6.2806,8.1297,1
mean_age_only,3,2,19.3121,26.02,6.2857,8.1325,1
age_diff_mean_age_same_sex,3,2,19.2991,26.0224,6.2907,8.1191,3
same_sex_only,3,2,19.3319,26.0254,6.303,8.1395,1
age_diff_same_sex,6,1,19.202,26.0333,5.0886,6.9177,2
age_diff_temp_same_sex,3,2,19.3141,26.0365,6.3212,8.1623,3
temp_same_sex,3,2,19.3359,26.0373,6.313,8.1589,2
age_diff_mean_age_temp_no_interaction,3,2,19.3161,26.0414,6.3681,8.2021,3
mean_age_temp_same_sex,3,2,19.3437,26.0435,6.3659,8.213,3
age_diff_mean_age_temp_same_sex_no_interaction,3,2,19.3244,26.045,6.3674,8.1984,4
mean_age_temp,3,2,19.3386,26.0458,6.3638,8.2174,2
age_diff_mean_age_same_sex,6,2,19.2165,26.0519,5.1217,6.7863,3
mean_age_same_sex,6,2,19.2153,26.0565,5.137,6.8078,2
age_diff_mean_age_temp_same_sex_no_interaction,6,1,19.2047,26.0741,5.1047,6.9788,4
mean_age_temp_same_sex,6,1,19.2015,26.0747,5.1039,6.9821,3
age_diff_mean_age,6,2,19.1173,26.0856,5.0828,6.7735,2
age_diff_mean_age_same_sex,6,1,19.209,26.0868,5.1232,7.0035,3
mean_age_same_sex,6,1,19.2081,26.0912,5.1188,7.0108,2
age_diff_temp,6,1,19.1502,26.0987,5.0162,6.9455,2
age_diff_only,6,2,19.1241,26.1068,5.0796,6.8055,1
age_diff_mean_age,6,1,19.1488,26.1076,5.0316,6.9609,2
age_diff_mean_age_temp_no_interaction,6,1,19.1664,26.1088,5.0488,6.9655,3
age_diff_temp_same_sex,6,1,19.2602,26.1145,5.2059,7.0733,3
mean_age_only,6,2,19.1581,26.1248,5.1148,6.836,1
no_covariates,6,2,19.1629,26.125,5.1175,6.8377,0
age_diff_only,6,1,19.14,26.1267,5.0303,6.9836,1
same_sex_only,6,2,19.2741,26.1282,5.2585,6.8856,1
mean_age_temp,6,1,19.1793,26.1395,5.065,7.0023,2
mean_age_only,6,1,19.166,26.146,5.0587,7.0108,1
age_diff_mean_age_temp_with_interaction,3,2,19.2883,26.1461,6.3217,8.2299,4
no_covariates,6,1,19.1808,26.1481,5.0673,7.0153,0
temp_only,6,1,19.1748,26.1481,5.0634,7.0152,1
age_diff_mean_age_temp_with_interaction,3,1,19.297,26.149,6.3395,8.2436,4
age_diff_mean_age_temp_same_sex_with_interaction,3,2,19.2961,26.1512,6.3208,8.2284,5
age_diff_mean_age_temp_same_sex_with_interaction,3,1,19.3046,26.154,6.3388,8.242,5
same_sex_only,6,1,19.3126,26.1588,5.1608,7.0712,1
age_diff_same_sex,3,0,19.344,26.1601,6.3539,8.2289,2
age_diff_mean_age,3,0,19.3329,26.1638,6.3422,8.2239,2
age_diff_mean_age_temp_with_interaction,3,0,19.3046,26.1653,6.3722,8.2422,4
mean_age_temp_same_sex,6,2,19.3483,26.166,5.111,6.9365,3
no_covariates,3,0,19.3484,26.1676,6.3283,8.2285,0
temp_only,3,0,19.3484,26.1676,6.3283,8.2285,1
age_diff_only,3,0,19.3311,26.1682,6.3398,8.2323,1
age_diff_mean_age_temp_same_sex_no_interaction,6,2,19.3553,26.1692,5.1112,6.9342,4
age_diff_temp,3,0,19.3324,26.1692,6.3403,8.2389,2
mean_age_only,3,0,19.3503,26.1695,6.3418,8.2342,1
age_diff_mean_age_temp_same_sex_with_interaction,3,0,19.318,26.1708,6.3705,8.2409,5
age_diff_same_sex,3,1,19.3459,26.1723,6.3684,8.2796,2
mean_age_same_sex,3,0,19.3598,26.1727,6.3452,8.2342,2
age_diff_mean_age_same_sex,3,0,19.344,26.1728,6.345,8.2263,3
same_sex_only,3,0,19.3716,26.1757,6.3553,8.2405,1
age_diff_mean_age,3,1,19.3363,26.176,6.3567,8.2759,2
temp_same_sex,6,1,19.3051,26.1764,5.2459,7.1648,2
age_diff_only,3,1,19.3322,26.1797,6.3557,8.2838,1
temp_only,3,1,19.3508,26.18,6.3438,8.2808,1
no_covariates,3,1,19.3521,26.18,6.3443,8.2808,0
age_diff_temp,3,1,19.3356,26.1808,6.3566,8.2912,2
mean_age_only,3,1,19.3524,26.1815,6.3563,8.2859,1
age_diff_mean_age_same_sex,3,1,19.3462,26.1843,6.3589,8.2768,3
mean_age_same_sex,3,1,19.3609,26.1844,6.3591,8.2844,2
age_diff_temp_same_sex,3,0,19.359,26.1873,6.3741,8.2662,3
same_sex_only,3,1,19.3725,26.1878,6.3692,8.2911,1
temp_same_sex,3,0,19.3768,26.1886,6.3643,8.2594,2
age_diff_mean_age_temp_no_interaction,3,0,19.3624,26.189,6.4181,8.3,3
age_diff_temp,6,2,19.2084,26.1914,5.0849,6.9146,2
mean_age_temp,3,0,19.3777,26.1953,6.4154,8.3119,2
age_diff_mean_age_temp_same_sex_no_interaction,3,0,19.3717,26.1954,6.4167,8.2983,4
mean_age_temp_same_sex,3,0,19.3869,26.1967,6.4161,8.3095,3
age_diff_temp_same_sex,3,1,19.3602,26.1978,6.3886,8.3151,3
age_diff_mean_age_temp_no_interaction,3,1,19.3666,26.1996,6.4286,8.3492,3
temp_same_sex,3,1,19.3767,26.1997,6.3781,8.308,2
age_diff_mean_age_temp_no_interaction,6,2,19.2314,26.2023,5.1119,6.9316,3
age_diff_temp_same_sex,6,2,19.339,26.2035,5.2219,7.0339,3
age_diff_mean_age_temp_same_sex_no_interaction,3,1,19.3741,26.2054,6.4267,8.3463,4
mean_age_temp,3,1,19.3808,26.2055,6.4265,8.361,2
mean_age_temp_same_sex,3,1,19.3878,26.2067,6.4269,8.3574,3
mean_age_temp,6,2,19.2579,26.2301,5.1247,6.9673,2
temp_only,6,2,19.2502,26.2375,5.1286,6.9834,1
temp_same_sex,6,2,19.361,26.2624,5.2805,7.1247,2
age_diff_mean_age_temp_with_interaction,7,0,19.2535,26.3369,5.3741,6.6377,4
age_diff_mean_age_temp_same_sex_with_interaction,7,0,19.3809,26.3421,5.4771,6.6692,5
age_diff_mean_age_temp_no_interaction,7,0,19.2623,26.3624,5.3975,6.6893,3
age_diff_temp,7,0,19.2725,26.3627,5.3942,6.6826,2
age_diff_mean_age_temp_same_sex_no_interaction,7,0,19.386,26.3684,5.5095,6.7216,4
age_diff_same_sex,4,2,19.5122,26.3685,4.6091,6.031,2
age_diff_same_sex,7,0,19.3837,26.3738,5.5076,6.746,2
age_diff_mean_age,4,2,19.489,26.3782,4.5882,6.0238,2
mean_age_temp_same_sex,7,0,19.371,26.3837,5.5277,6.759,3
age_diff_mean_age,7,0,19.2946,26.3864,5.4093,6.7238,2
mean_age_temp,7,0,19.2977,26.3933,5.4274,6.739,2
age_diff_mean_age_same_sex,4,2,19.5169,26.3939,4.5933,6.0283,3
age_diff_only,4,2,19.4686,26.3998,4.5896,6.0546,1
age_diff_mean_age_same_sex,7,0,19.4078,26.4026,5.5305,6.7715,3
age_diff_mean_age_temp_with_interaction,4,2,19.4225,26.4044,4.5406,6.0522,4
age_diff_temp_same_sex,7,0,19.414,26.407,5.531,6.7747,3
age_diff_only,7,0,19.2769,26.4077,5.4105,6.7584,1
age_diff_mean_age_temp_with_interaction,4,1,19.4301,26.4113,4.5583,6.0701,4
no_covariates,4,2,19.5207,26.415,4.6148,6.0779,0
mean_age_same_sex,4,2,19.5375,26.416,4.6163,6.0775,2
mean_age_only,4,2,19.5237,26.4169,4.6278,6.0837,1
age_diff_mean_age_temp_same_sex_with_interaction,4,2,19.4715,26.4179,4.5585,6.0553,5
age_diff_mean_age_temp_same_sex_with_interaction,4,1,19.4702,26.4245,4.5677,6.0734,5
mean_age_same_sex,7,0,19.3958,26.4282,5.5561,6.8297,2
mean_age_only,7,0,19.341,26.4305,5.4533,6.7983,1
no_covariates,7,0,19.3621,26.4331,5.4647,6.8027,0
temp_only,7,0,19.3621,26.4331,5.4647,6.8027,1
same_sex_only,4,2,19.5969,26.4343,4.6717,6.1087,1
same_sex_only,7,0,19.4452,26.4524,5.5537,6.8411,1
age_diff_temp,4,0,19.4404,26.4544,4.5781,6.0653,2
age_diff_mean_age_temp_with_interaction,4,0,19.4256,26.4564,4.6109,6.0731,4
age_diff_mean_age_temp_same_sex_with_interaction,8,0,19.4534,26.4564,5.4292,6.6311,5
age_diff_same_sex,4,0,19.5033,26.4593,4.6423,6.0927,2
age_diff_mean_age,4,0,19.4571,26.4604,4.6019,6.0794,2
age_diff_mean_age_temp_same_sex_with_interaction,4,0,19.4812,26.4707,4.624,6.0771,5
age_diff_mean_age_temp_with_interaction,8,0,19.3957,26.4716,5.3411,6.6053,4
age_diff_mean_age_temp_same_sex_no_interaction,8,0,19.4637,26.4814,5.447,6.6806,4
age_diff_same_sex,8,0,19.4535,26.4817,5.4475,6.6967,2
age_diff_mean_age_temp_no_interaction,4,0,19.4806,26.4822,4.661,6.133,3
age_diff_mean_age_same_sex,4,0,19.5116,26.4827,4.6317,6.0965,3
temp_same_sex,7,0,19.4376,26.4827,5.5946,6.9032,2
age_diff_temp,4,1,19.4868,26.4842,4.6827,6.2232,2
age_diff_only,4,0,19.453,26.4845,4.6057,6.1099,1
age_diff_same_sex,4,1,19.527,26.4871,4.7155,6.2441,2
age_diff_temp,8,0,19.4133,26.4909,5.3395,6.642,2
age_diff_mean_age,4,1,19.4991,26.4913,4.7014,6.235,2
age_diff_mean_age_temp_with_interaction,7,2,19.5038,26.4916,5.4943,6.6974,4
age_diff_mean_age_temp_no_interaction,8,0,19.4073,26.4954,5.3464,6.6549,3
mean_age_temp_same_sex,8,0,19.4593,26.4969,5.4581,6.7129,3
age_diff_mean_age_temp_same_sex_no_interaction,4,0,19.525,26.4972,4.6757,6.1383,4
age_diff_mean_age_temp_same_sex_with_interaction,7,2,19.6048,26.4975,5.6401,6.7464,5
age_diff_temp_same_sex,4,0,19.5303,26.4992,4.6614,6.1318,3
no_covariates,4,0,19.5019,26.5016,4.6323,6.136,0
temp_only,4,0,19.5019,26.5016,4.6323,6.136,1
mean_age_only,4,0,19.4983,26.5026,4.6375,6.1388,1
age_diff_mean_age_same_sex,8,0,19.4717,26.5032,5.4646,6.7126,3
age_diff_mean_age_temp_no_interaction,4,1,19.5154,26.5083,4.7504,6.2847,3
age_diff_mean_age,8,0,19.4247,26.5084,5.3542,6.6745,2
mean_age_same_sex,4,0,19.5462,26.5098,4.6489,6.1453,2
age_diff_temp_same_sex,8,0,19.4812,26.5104,5.4652,6.7184,3
age_diff_mean_age_same_sex,4,1,19.5429,26.5108,4.7175,6.25,3
age_diff_mean_age_temp_with_interaction,7,1,19.5267,26.5119,5.5154,6.7332,4
age_diff_only,4,1,19.4895,26.5148,4.7064,6.2641,1
mean_age_temp,4,0,19.5092,26.5168,4.6766,6.1772,2
age_diff_mean_age_temp_same_sex_with_interaction,7,1,19.619,26.517,5.6597,6.7821,5
mean_age_temp_same_sex,4,0,19.5474,26.5189,4.6802,6.1754,3
age_diff_mean_age_temp_same_sex_no_interaction,4,1,19.5471,26.5206,4.7536,6.288,4
same_sex_only,4,0,19.5668,26.521,4.6791,6.1647,1
age_diff_temp_same_sex,4,1,19.5591,26.5254,4.7478,6.2856,3
mean_age_temp,8,0,19.4321,26.5265,5.3698,6.6956,2
mean_age_same_sex,8,0,19.4632,26.5274,5.4832,6.7618,2
age_diff_only,8,0,19.416,26.53,5.3466,6.7028,1
age_diff_same_sex,2,2,19.6584,26.534,6.2477,8.4866,2
mean_age_only,4,1,19.5399,26.5346,4.7264,6.2923,1
temp_only,4,1,19.5446,26.5346,4.7227,6.2907,1
no_covariates,4,1,19.5461,26.5346,4.7231,6.2908,0
age_diff_temp,4,2,19.5771,26.5375,4.7067,6.1846,2
mean_age_same_sex,4,1,19.5806,26.5384,4.7399,6.2958,2
age_diff_mean_age_temp_same_sex_with_interaction,8,1,19.5949,26.539,5.4387,6.5662,5
age_diff_mean_age,2,2,19.6343,26.5407,6.2308,8.484,2
mean_age_temp_same_sex,4,1,19.5749,26.5422,4.7659,6.3233,3
mean_age_temp,4,1,19.5463,26.5434,4.7622,6.3279,2
no_covariates,2,2,19.6397,26.5447,6.2148,8.4934,0
temp_only,2,2,19.6416,26.5447,6.2154,8.4934,1
age_diff_same_sex,2,1,19.67,26.5451,6.2803,8.5145,2
age_diff_only,2,2,19.6275,26.5468,6.2284,8.4993,1
mean_age_only,2,2,19.6534,26.5479,6.2319,8.5022,1
mean_age_same_sex,2,2,19.6745,26.5483,6.2416,8.5042,2
age_diff_temp,2,2,19.6315,26.5485,6.2285,8.5067,2
age_diff_mean_age_same_sex,2,2,19.6585,26.5486,6.2402,8.4945,3
mean_age_only,8,0,19.4569,26.5505,5.3876,6.7354,1
age_diff_mean_age,2,1,19.6455,26.5516,6.2624,8.5113,2
temp_same_sex,4,0,19.5953,26.5516,4.712,6.2105,2
temp_only,8,0,19.4707,26.5521,5.3984,6.7383,1
no_covariates,8,0,19.4707,26.5521,5.3984,6.7383,0
same_sex_only,4,1,19.608,26.5528,4.762,6.3175,1
age_diff_mean_age_temp_with_interaction,8,1,19.5179,26.5529,5.3227,6.5351,4
same_sex_only,2,2,19.7003,26.5547,6.2562,8.5155,1
no_covariates,2,1,19.6517,26.5559,6.2466,8.5206,0
temp_only,2,1,19.6527,26.5559,6.2469,8.5206,1
age_diff_only,2,1,19.6386,26.5576,6.2602,8.5262,1
age_diff_mean_age_temp_with_interaction,2,2,19.6242,26.558,6.3144,8.5543,4
mean_age_only,2,1,19.6644,26.559,6.2633,8.529,1
age_diff_mean_age_same_sex,2,1,19.6699,26.5593,6.2733,8.5231,3
mean_age_same_sex,2,1,19.6847,26.5593,6.2748,8.5325,2
age_diff_temp,2,1,19.6425,26.5596,6.2604,8.5344,2
age_diff_mean_age_temp_same_sex_with_interaction,2,2,19.6448,26.5616,6.3149,8.5579,5
age_diff_mean_age_temp_with_interaction,2,1,19.6113,26.5616,6.3721,8.5965,4
same_sex_only,8,0,19.5216,26.5619,5.477,6.7701,1
age_diff_mean_age_temp_no_interaction,4,2,19.6103,26.5634,4.7778,6.2483,3
age_diff_mean_age_temp_same_sex_with_interaction,2,1,19.6435,26.5656,6.3726,8.5996,5
same_sex_only,2,1,19.7112,26.5657,6.2885,8.543,1
age_diff_temp_same_sex,2,2,19.6858,26.5697,6.2891,8.556,3
temp_same_sex,2,2,19.7024,26.5698,6.2817,8.55,2
age_diff_mean_age_temp_same_sex_no_interaction,4,2,19.647,26.5767,4.7859,6.2515,4
age_diff_same_sex,2,0,19.669,26.5776,6.3365,8.5644,2
temp_same_sex,8,0,19.5126,26.5776,5.5157,6.821,2
age_diff_mean_age_temp_no_interaction,2,2,19.6768,26.5781,6.3477,8.5911,3
age_diff_temp_same_sex,2,1,19.6959,26.5806,6.3221,8.5844,3
temp_same_sex,2,1,19.7124,26.5807,6.3143,8.5779,2
age_diff_temp_same_sex,4,2,19.6577,26.5808,4.7788,6.248,3
temp_same_sex,4,1,19.6354,26.5813,4.7967,6.3613,2
age_diff_mean_age_temp_same_sex_no_interaction,2,2,19.6985,26.5824,6.3473,8.5937,4
age_diff_mean_age,2,0,19.6465,26.5839,6.3198,8.5612,2
mean_age_temp_same_sex,2,2,19.7149,26.5843,6.3481,8.6094,3
mean_age_temp,2,2,19.6946,26.5862,6.3451,8.6121,2
temp_only,4,2,19.6429,26.5885,4.7482,6.2532,1
temp_only,2,0,19.6545,26.5885,6.3071,8.5705,1
no_covariates,2,0,19.6545,26.5885,6.3071,8.5705,0
age_diff_mean_age_temp_no_interaction,2,1,19.6886,26.5891,6.3784,8.6173,3
age_diff_only,2,0,19.6412,26.5898,6.3189,8.5755,1
mean_age_only,2,0,19.664,26.5913,6.3233,8.5786,1
age_diff_temp,2,0,19.647,26.5918,6.3259,8.5843,2
age_diff_mean_age_same_sex,2,0,19.669,26.592,6.3294,8.5728,3
mean_age_same_sex,2,0,19.6821,26.5921,6.3314,8.5819,2
age_diff_mean_age_temp_with_interaction,2,0,19.6289,26.593,6.3795,8.6111,4
age_diff_mean_age_temp_same_sex_no_interaction,2,1,19.7093,26.5933,6.3799,8.6214,4
mean_age_temp_same_sex,2,1,19.7257,26.5955,6.3807,8.6369,3
age_diff_mean_age_temp_same_sex_with_interaction,2,0,19.6516,26.597,6.3801,8.6144,5
mean_age_temp,2,1,19.706,26.5974,6.3762,8.6382,2
same_sex_only,2,0,19.7079,26.5982,6.3482,8.5926,1
mean_age_temp_same_sex,4,2,19.6683,26.5987,4.7996,6.2875,3
mean_age_temp,4,2,19.6449,26.5988,4.7905,6.2924,2
age_diff_mean_age_temp_same_sex_with_interaction,8,2,19.7572,26.6053,5.4922,6.708,5
age_diff_temp_same_sex,2,0,19.6947,26.6128,6.378,8.6342,3
temp_same_sex,2,0,19.7103,26.6133,6.37,8.6276,2
age_diff_mean_age_temp_no_interaction,2,0,19.6944,26.6207,6.4304,8.6672,3
age_diff_mean_age_temp_with_interaction,8,2,19.7017,26.6221,5.4089,6.6756,4
age_diff_mean_age_temp_same_sex_no_interaction,2,0,19.7087,26.6253,6.4347,8.6711,4
mean_age_temp_same_sex,2,0,19.7233,26.6275,6.4355,8.6863,3
mean_age_temp,2,0,19.7106,26.629,6.43,8.6877,2
temp_same_sex,4,2,19.726,26.6372,4.8287,6.3249,2
age_diff_same_sex,7,1,19.9885,26.9492,5.981,7.4974,2
age_diff_temp,7,1,19.9478,26.964,5.9228,7.4668,2
age_diff_mean_age_temp_same_sex_no_interaction,7,1,19.9764,26.9668,5.9956,7.5327,4
age_diff_mean_age_temp_no_interaction,7,1,19.9636,26.9753,5.9704,7.5017,3
age_diff_mean_age,7,1,19.9514,26.9782,5.9392,7.486,2
mean_age_temp_same_sex,7,1,19.9804,26.9806,5.9949,7.5604,3
age_diff_mean_age_same_sex,7,1,19.9822,26.9808,5.9832,7.536,3
age_diff_same_sex,7,2,20.1919,26.986,5.947,7.4321,2
age_diff_only,7,1,19.9406,26.9975,5.9247,7.5133,1
age_diff_temp_same_sex,7,1,20.0264,26.9999,6.0345,7.5762,3
mean_age_same_sex,7,1,19.9864,27.002,5.9888,7.5748,2
mean_age_temp,7,1,19.9889,27.0078,5.9781,7.5445,2
age_diff_mean_age_same_sex,7,2,20.2259,27.0209,5.9381,7.453,3
mean_age_only,7,1,19.9825,27.0213,5.9587,7.5453,1
age_diff_mean_age,7,2,20.146,27.0242,5.9207,7.4298,2
temp_only,7,1,19.9936,27.0252,5.9648,7.5495,1
no_covariates,7,1,20.0007,27.0254,5.9704,7.5495,0
age_diff_same_sex,8,1,20.0113,27.0373,5.9503,7.497,2
same_sex_only,7,1,20.0857,27.0431,6.0489,7.592,1
mean_age_same_sex,7,2,20.249,27.0435,5.9553,7.5022,2
age_diff_only,7,2,20.141,27.0464,5.9025,7.4631,1
age_diff_mean_age_same_sex,8,1,20.0044,27.0606,5.9491,7.5246,3
age_diff_temp,7,2,20.1884,27.0641,5.9403,7.4711,2
temp_same_sex,7,1,20.0666,27.0688,6.0747,7.6702,2
mean_age_only,7,2,20.1782,27.0702,5.9441,7.4973,1
age_diff_temp,8,1,19.9922,27.0717,5.9164,7.4817,2
no_covariates,7,2,20.1878,27.0731,5.9558,7.501,0
age_diff_mean_age,8,1,19.9966,27.0745,5.9192,7.4829,2
age_diff_mean_age_temp_same_sex_no_interaction,8,1,20.0261,27.0751,6.0102,7.5743,4
mean_age_same_sex,8,1,19.9981,27.0765,5.9607,7.5541,2
mean_age_temp_same_sex,7,2,20.2898,27.0773,5.9812,7.5448,3
same_sex_only,7,2,20.2556,27.0848,6.0339,7.5337,1
age_diff_temp_same_sex,8,1,20.0454,27.0872,6.0107,7.5843,3
mean_age_temp_same_sex,8,1,20.0208,27.0873,6.0188,7.5993,3
age_diff_only,8,1,19.981,27.0916,5.912,7.5053,1
age_diff_temp_same_sex,7,2,20.277,27.0942,6.0484,7.5648,3
age_diff_mean_age_temp_same_sex_no_interaction,7,2,20.2904,27.0969,5.9939,7.5319,4
age_diff_mean_age_temp_no_interaction,8,1,20.027,27.0979,5.9963,7.5497,3
mean_age_temp,7,2,20.2323,27.108,5.9912,7.5494,2
mean_age_only,8,1,20.0105,27.1096,5.9418,7.5283,1
age_diff_mean_age_temp_no_interaction,7,2,20.2199,27.1096,5.9987,7.5217,3
temp_only,8,1,20.0135,27.111,5.9387,7.5288,1
no_covariates,8,1,20.0199,27.1112,5.9445,7.5288,0
same_sex_only,8,1,20.0821,27.1205,6.0151,7.5691,1
temp_only,7,2,20.2225,27.1232,5.9965,7.5571,1
mean_age_temp,8,1,20.0371,27.1268,6.0128,7.5854,2
temp_same_sex,8,1,20.0625,27.1342,6.0358,7.6417,2
age_diff_same_sex,8,2,20.3356,27.1359,6.0973,7.5795,2
temp_same_sex,7,2,20.3134,27.1613,6.1116,7.6617,2
age_diff_mean_age_same_sex,8,2,20.3697,27.1698,6.0911,7.597,3
age_diff_mean_age,8,2,20.2953,27.1776,6.0592,7.5633,2
mean_age_same_sex,8,2,20.3971,27.1857,6.0847,7.6363,2
age_diff_only,8,2,20.2969,27.1981,6.0316,7.5948,1
no_covariates,8,2,20.3343,27.2152,6.0572,7.6166,0
mean_age_only,8,2,20.3334,27.2156,6.0608,7.6184,1
same_sex_only,8,2,20.4029,27.223,6.1378,7.6578,1
age_diff_mean_age_temp_same_sex_no_interaction,8,2,20.4032,27.2256,6.2091,7.7584,4
