gnar_with_neighbours,gnar_no_neighbours,arima,structure,seed,dfm
1.7913837674836537,1.8323795778754,2.1589729934123945,RDP,21,2.7090209031706634
1.0908738792896455,1.2124846213054414,1.6288111018456168,RDP,22,1.2226003214416186
1.656718327262998,1.6886707231129359,2.2126880719364586,RDP,23,1.8154743556812531
2.8175148476451453,2.868996697394073,3.055476853384869,RDP,24,1.905149319327033
1.3910030366658614,1.4366033069729958,1.5658093783342615,RDP,25,1.0379285863020393
2.8195868901076797,2.814275501919413,2.92663399788278,RDP,26,1.9973039003903534
1.5120693418972908,1.5253885227297401,1.713758338344022,RDP,27,2.2821385636219564
0.8157646418757454,1.3453714347711063,1.228274952914182,RDP,28,1.3588179952361192
3.065864763230847,3.1783505762752666,3.4446743516731253,RDP,29,3.8668348275382383
1.4677714688881738,1.5392846799608844,1.9102790615042733,RDP,30,1.6439274415365468
0.9948470036229331,1.0555453884625463,1.4404914399696969,RDP,31,1.0308437303782894
1.7020657211170196,1.759506225297727,2.138549519316786,RDP,32,2.4191904941425455
1.1038404625439164,1.1303921014193246,1.4371063531792507,RDP,33,1.7009722471270512
1.0486131906144045,1.0903876853909367,1.5429528596574675,RDP,34,1.5487729310044234
1.9554747046281769,2.027011190144573,1.8359725040966972,RDP,35,1.529842201707273
1.134369050042824,1.1278034523693192,1.4372092930167673,RDP,36,1.1600906018997237
1.0879434594991122,1.2368413136089083,1.462404298856888,RDP,37,1.649671614558148
1.0032251734522195,1.0368646622027975,1.586499918697097,RDP,38,1.6401453164122586
1.2200777374993645,1.280400237279747,1.6741384116297358,RDP,39,1.4906266221691609
2.004742226893709,2.034985544406356,2.116719551606036,RDP,40,2.396036930107148
1.2791303038933015,1.3073719118160037,1.5963896055814153,RDP,41,1.3914946564340276
1.1376453820715806,1.1785094450829765,1.53655931449487,RDP,42,1.2928293764852457
0.934132692300637,1.014732128685698,1.3791334408998055,RDP,43,1.0174716664441725
1.02133145047517,0.9655929879551572,1.8401610259177155,RDP,44,1.0101611360511509
1.5386009800298888,1.5746084604781205,2.071944808189251,RDP,45,2.5810101695288665
1.5821115143053575,1.5627845621929788,2.0150622849578106,RDP,46,2.1948570266894394
2.192886703341001,2.2159404624574757,2.473499102297708,RDP,47,1.384465677515745
